brand,model,model_year,Mileage(mi),fuel_type,engine,transmission,ext_col,accident,Accident_var,clean_title,price
Toyota,Supra 3.0 Premium,2021,12500,Gasoline,382.0HP 3.0L Straight 6 Cylinder Engine Gasoline Fuel,A/T,Yellow,None reported,0,Yes,53500
Nissan,350Z Enthusiast,2003,74000,Gasoline,287.0HP 3.5L V6 Cylinder Engine Gasoline Fuel,6-Speed M/T,Purple,None reported,0,Yes,11000
Nissan,Sentra SR,2016,96541,Gasoline,1.8 Liter,Automatic,Blue,None reported,0,No,13998
Honda,Passport Elite,2023,2978,Gasoline,3.5 Liter SOHC,Automatic,Lunar Silver Metallic,None reported,0,No,45498
Toyota,Avalon Touring,2016,89148,Gasoline,268.0HP 3.5L V6 Cylinder Engine Gasoline Fuel,A/T,Black,None reported,0,Yes,17500
Honda,CR-V EX-L,2016,73549,Gasoline,2.4L I4 16V GDI DOHC,Automatic CVT,Mountain Air Metallic,At least 1 accident or damage reported,1,No,20848
Nissan,Rogue SV,2023,1094,Gasoline,1.5L I3 12V GDI DOHC Turbo,Automatic CVT,Caspian Blue,None reported,0,No,30999
Toyota,GR Corolla Circuit Edition,2023,952,Gasoline,300.0HP 1.6L 3 Cylinder Engine Gasoline Fuel,6-Speed M/T,Silver,None reported,0,Yes,49950
Toyota,Corolla LE,2003,124756,Gasoline,130.0HP 1.8L 4 Cylinder Engine Gasoline Fuel,M/T,Beige,At least 1 accident or damage reported,1,Yes,4995
Nissan,GT-R Premium,2010,15600,Gasoline,485.0HP 3.8L V6 Cylinder Engine Gasoline Fuel,Transmission w/Dual Shift Mode,White,None reported,0,Yes,69500
Toyota,Corolla LE,2010,72348,Gasoline,132.0HP 1.8L 4 Cylinder Engine Gasoline Fuel,A/T,Red,At least 1 accident or damage reported,1,Yes,9995
Nissan,Armada SL,2021,67800,Gasoline,400.0HP 5.6L 8 Cylinder Engine Gasoline Fuel,7-Speed A/T,Silver,At least 1 accident or damage reported,1,Yes,36500
Toyota,4Runner SR5,2022,28377,Gasoline,4.0L V6 24V MPFI DOHC,5-Speed Automatic,Silver,None reported,0,No,36999
Toyota,Tacoma PreRunner,2008,202055,Gasoline,236.0HP 4.0L V6 Cylinder Engine Gasoline Fuel,A/T,Silver,At least 1 accident or damage reported,1,Yes,8500
Toyota,Land Cruiser Base,1997,213000,Gasoline,212.0HP 4.5L Straight 6 Cylinder Engine Gasoline Fuel,4-Speed A/T,White,None reported,0,Yes,26500
Nissan,GT-R Premium,2020,16010,Gasoline,565.0HP 3.8L V6 Cylinder Engine Gasoline Fuel,A/T,White,None reported,0,Yes,114000
Nissan,GT-R Premium,2017,37800,Gasoline,565.0HP 3.8L V6 Cylinder Engine Gasoline Fuel,Transmission w/Dual Shift Mode,Orange,None reported,0,Yes,149500
Nissan,Titan XD SV,2020,10001,Gasoline,5.6L V8 32V GDI DOHC,9-Speed Automatic,Black,None reported,0,Yes,47214
Toyota,Land Cruiser,2016,50361,Gasoline,5.7 Liter,Automatic,Silver,None reported,0,No,65998
Honda,S2000 CR,2008,82323,Gasoline,237.0HP 2.2L 4 Cylinder Engine Gasoline Fuel,6-Speed M/T,Black,None reported,0,Yes,28500
Toyota,Highlander XLE,2020,61341,Gasoline,3.5L V6 24V PDI DOHC,8-Speed Automatic,Midnight Black Metallic,At least 1 accident or damage reported,1,No,34084
Honda,Civic LX,2016,96473,Gasoline,2.0L I4 16V MPFI DOHC,Automatic CVT,Black,None reported,0,No,15599
Nissan,NV Passenger NV3500 HD SL V8,2017,46496,Gasoline,375.0HP 5.6L 8 Cylinder Engine Gasoline Fuel,A/T,Black,None reported,0,Yes,41000
